Product;Type;Release Date;Process Size (nm);TDP (W);Die Size (mm^2);Transistors (million);Freq (MHz);Foundry;Vendor;FP16 GFLOPS;FP32 GFLOPS;FP64 GFLOPS
Intel Core i9-9900KS;CPU;2019-10-28;140;1270;1800;;40000;Intel;Intel;;;
Intel Atom Z3770;CPU;2013-09-27;220;80;;;14670;Intel;Intel;;;
AMD Opteron X2 865 HE;CPU;2005-08-01;900;550;;2330;18000;Unknown;AMD;;;
Intel Core i7-980;CPU;2011-06-26;320;1300;2390;11700;33330;Intel;Intel;;;
Intel Xeon Gold 6154;CPU;2017-07-11;140;2000;;80000;30000;Intel;Intel;;;
AMD Ryzen 3 2300X;CPU;2018-08-01;140;650;2100;49500;35000;GF;AMD;;;
Intel Pentium G3250;CPU;2014-07-21;220;540;1770;14000;32000;Intel;Intel;;;
Intel Atom Z500;CPU;2008-04-02;450;10;260;470;8000;Intel;Intel;;;
Intel Celeron E3300;CPU;2009-08-30;450;650;820;2280;25000;Intel;Intel;;;
AMD Athlon 64 X2 4800+;CPU;2006-05-23;900;890;2200;1540;24000;Unknown;AMD;;;
AMD Athlon 64 3200+;CPU;2005-05-31;900;670;1560;1540;20000;Unknown;AMD;;;
AMD A10-7890K;CPU;2016-01-11;280;950;2460;11780;40000;Unknown;AMD;;;
AMD A10-5757M;CPU;2013-06-01;320;350;2460;11780;25000;Unknown;AMD;;;
AMD Sempron X2 2100;CPU;2008-03-01;650;650;1180;2210;18000;Unknown;AMD;;;
Intel Xeon MP 3.00;CPU;2005-03-29;900;1350;;;30000;Intel;Intel;;;
Intel Core i7-9850HL;CPU;NaT;140;250;1490;;19000;Intel;Intel;;;
Intel Core i7-860S;CPU;2010-01-07;450;820;2960;7740;25330;Intel;Intel;;;
Intel Pentium 4 HT 3.40;CPU;2004-02-02;1300;890;1310;550;34000;Intel;Intel;;;
Intel Celeron 2.60;CPU;2003-06-25;1300;730;1460;550;26000;Intel;Intel;;;
AMD Athlon 64 3500+;CPU;2006-05-23;900;620;1830;1540;22000;Unknown;AMD;;;
Intel Pentium 4 HT 630;CPU;2005-02-20;900;840;1090;1690;30000;Intel;Intel;;;
Intel Celeron 445;CPU;2008-05-01;650;650;760;1050;18660;Intel;Intel;;;
AMD Turion X2 RM-70;CPU;2006-06-01;650;310;;;20000;Unknown;AMD;;;
AMD Opteron 146 HE;CPU;2004-02-14;1300;550;1930;1060;20000;Unknown;AMD;;;
